"1 is correct, 2 is incorrect",question,answer,correct or incorrect
1,0!,0! = 1,correct
1,2024^0,2024^0 = 1,correct
1,tan(x) * cot(x),tan(x) * cot(x) = 1,correct
1,log base 2024 of 1,log base 2024 of 1 = 0,correct
1,ln(1),ln(1) = 0,correct
1,cos^2(x) + sin^2(x),cos^2(x) + sin^2(x) = 1,correct
1,cos(270 deg),cos(270 deg) = 0,correct
1,log3 (3^1),log3 (3^1) = 1,correct
1,log base 2024 of 2024,log base 2024 of 2024 = 1,correct
1,cos(0),cos(0) = 1,correct
1,sqrt(1),sqrt(1) = 1,correct
1,cot(45 deg),cot(45 deg) = 1,correct
1,2024^(log base 2024 of 1),2024^(log base 2024 of 1) = 1,correct
1,tan(pi/4),tan(pi/4) = 1,correct
1,cos(pi/2),cos(pi/2) = 0,correct
2,0^(-1),0^(-1) = undefined,incorrect
2,ln(-1),ln(-1) = undefined,incorrect
2,cos(pi),cos(pi) = -1,incorrect
2,tan(pi/2),tan(pi/2) = undefined,incorrect
2,0.1!,0.1! = 0.9514,incorrect
2,cos(45 deg),cos(45 deg) = 0.7071,incorrect
2,cot(30 deg),cot(30 deg) = 1.7321,incorrect
2,sqrt(-1),sqrt(-1) = undefined,incorrect
2,log base 2 of 2^(-1),log base 2 of 2^(-1) = -1,incorrect
2,(-1)^(-1),(-1)^(-1) = -1,incorrect
